persona,applied-macro/focus-quant,applied-macro/nfp-quant-readthrough,crossfire-review/adversary,crossfire-review/forager,crossfire-review/guard,derivatives-microstructure/almgren-chriss,derivatives-microstructure/as-market-maker,derivatives-microstructure/convexity-lab,derivatives-microstructure/lob-engine,derivatives-microstructure/ofi-signal,options-volatility/lattice-lab,options-volatility/lsmc-lab,options-volatility/monte-carlo-lab,options-volatility/pde-lab,options-volatility/smile-lab,options-volatility/vol-lab,rates-term-structure/g2pp-lab,rates-term-structure/lmm-lab,rates-term-structure/shortrate-lab,risk-portfolio/copula-lab,risk-portfolio/credit-lab,risk-portfolio/factor-lab,risk-portfolio/port-lab,risk-portfolio/var-lab,systems-cs/lsm-tree,systems-cs/mini-blas,systems-cs/nanograd,systems-cs/nanozero,systems-cs/pathtrace,systems-cs/raft-py,systems-cs/scrape-arsenal,systems-cs/tinycrypt,systems-cs/tinylang,systems-cs/tinysat,systems-cs/tinyspsc,systems-cs/tinytcp,timeseries-stat-trading/backtest-engine,timeseries-stat-trading/cointegration-lab,timeseries-stat-trading/hawkes-fit,timeseries-stat-trading/kalman-lab,timeseries-stat-trading/regression-lab,timeseries-stat-trading/tinystat,valuation-fundamentals/corpfin-lab,valuation-fundamentals/eqval-lab,valuation-fundamentals/fixedalt-lab,valuation-fundamentals/forensic-lab,valuation-fundamentals/fra-lab,valuation-fundamentals/tvm-lab
applied-macro/focus-quant,0.0000,0.8919,0.9032,0.9155,0.8886,0.8956,0.8809,0.8790,0.8905,0.8755,0.8934,0.8841,0.8930,0.8767,0.8938,0.8785,0.8715,0.8830,0.8611,0.8870,0.8690,0.8732,0.8625,0.8605,0.8751,0.8944,0.8726,0.8677,0.8721,0.8697,0.8962,0.8860,0.8844,0.8688,0.8789,0.8723,0.8808,0.8700,0.8717,0.8712,0.8901,0.8580,0.8872,0.8675,0.8668,0.8834,0.8863,0.8552
applied-macro/nfp-quant-readthrough,0.8919,0.0000,0.9266,0.9331,0.9212,0.8954,0.8934,0.9013,0.8984,0.8889,0.9098,0.9058,0.9103,0.9038,0.9098,0.9048,0.9013,0.8934,0.8989,0.8969,0.8865,0.8870,0.9013,0.8944,0.8994,0.9113,0.9018,0.9098,0.9033,0.9033,0.9058,0.9063,0.9098,0.9068,0.9053,0.8954,0.8934,0.8934,0.8914,0.9053,0.9023,0.8577,0.9008,0.8919,0.9043,0.8875,0.8994,0.8999
crossfire-review/adversary,0.9032,0.9266,0.0000,0.8132,0.7801,0.9275,0.9320,0.9230,0.9177,0.9201,0.9296,0.9283,0.9317,0.9164,0.9246,0.9348,0.9255,0.9317,0.9213,0.9224,0.9220,0.9153,0.9122,0.9084,0.9045,0.9156,0.9046,0.9029,0.9247,0.9026,0.9198,0.9181,0.9109,0.9060,0.8936,0.8961,0.9065,0.9012,0.9135,0.8985,0.9226,0.8959,0.9215,0.9099,0.9100,0.9132,0.9221,0.9214
crossfire-review/forager,0.9155,0.9331,0.8132,0.0000,0.8342,0.9246,0.9378,0.9189,0.9159,0.9219,0.9419,0.9390,0.9437,0.9226,0.9321,0.9348,0.9242,0.9311,0.9178,0.9284,0.9303,0.9263,0.9219,0.9225,0.9174,0.9184,0.9206,0.9159,0.9254,0.9026,0.9291,0.9240,0.9171,0.9068,0.9105,0.9094,0.9157,0.9143,0.9238,0.9073,0.9313,0.9076,0.9282,0.9240,0.9286,0.9274,0.9271,0.9345
crossfire-review/guard,0.8886,0.9212,0.7801,0.8342,0.0000,0.9182,0.9249,0.9141,0.9038,0.9120,0.9255,0.9270,0.9247,0.9094,0.9088,0.9304,0.9130,0.9140,0.9057,0.9194,0.9095,0.9049,0.9039,0.9084,0.9009,0.9033,0.8966,0.9094,0.9095,0.8960,0.9141,0.9096,0.8997,0.8956,0.8944,0.8924,0.8926,0.9063,0.8984,0.9021,0.9139,0.8877,0.9101,0.9018,0.9093,0.9094,0.9052,0.9117
derivatives-microstructure/almgren-chriss,0.8956,0.8954,0.9275,0.9246,0.9182,0.0000,0.8132,0.8666,0.8648,0.8544,0.8968,0.8881,0.8915,0.8863,0.8892,0.8973,0.8689,0.8823,0.8695,0.8788,0.8753,0.8718,0.8782,0.8718,0.8852,0.8973,0.8898,0.8811,0.8863,0.8985,0.8875,0.8730,0.8962,0.8834,0.8904,0.8852,0.8735,0.8950,0.8782,0.8881,0.8869,0.8706,0.8869,0.8759,0.8805,0.8724,0.8747,0.8805
derivatives-microstructure/as-market-maker,0.8809,0.8934,0.9320,0.9378,0.9249,0.8132,0.0000,0.8622,0.8657,0.8428,0.8850,0.8839,0.8903,0.8862,0.8762,0.8921,0.8669,0.8651,0.8674,0.8721,0.8674,0.8768,0.8821,0.8710,0.8880,0.8962,0.8827,0.8809,0.8833,0.8956,0.8927,0.8774,0.8974,0.8897,0.8891,0.8786,0.8886,0.8962,0.8534,0.8868,0.8856,0.8780,0.8944,0.8739,0.8786,0.8762,0.8874,0.8622
derivatives-microstructure/convexity-lab,0.8790,0.9013,0.9230,0.9189,0.9141,0.8666,0.8622,0.0000,0.8838,0.8649,0.8805,0.8821,0.8873,0.8474,0.8677,0.8873,0.8339,0.8571,0.8206,0.8767,0.8678,0.8787,0.8639,0.8426,0.8866,0.9012,0.8793,0.8790,0.8680,0.8770,0.9043,0.8670,0.8832,0.8845,0.8928,0.8784,0.8775,0.8742,0.8593,0.8756,0.8889,0.8529,0.8685,0.8447,0.8503,0.8766,0.8851,0.8612
derivatives-microstructure/lob-engine,0.8905,0.8984,0.9177,0.9159,0.9038,0.8648,0.8657,0.8838,0.0000,0.8536,0.9068,0.8941,0.9068,0.8875,0.8905,0.9020,0.8917,0.8760,0.8893,0.8767,0.8672,0.8639,0.8772,0.8760,0.8560,0.8663,0.8808,0.8820,0.8669,0.8748,0.8772,0.8826,0.8742,0.8711,0.8584,0.8705,0.8427,0.8875,0.8639,0.8778,0.8875,0.8772,0.8917,0.8802,0.8814,0.8778,0.8717,0.8790
derivatives-microstructure/ofi-signal,0.8755,0.8889,0.9201,0.9219,0.9120,0.8544,0.8428,0.8649,0.8536,0.0000,0.8978,0.8854,0.9064,0.8829,0.8866,0.8916,0.8773,0.8786,0.8773,0.8779,0.8803,0.8690,0.8736,0.8717,0.8835,0.8866,0.8792,0.8798,0.8848,0.8817,0.8864,0.8767,0.8941,0.8810,0.8841,0.8767,0.8618,0.8668,0.8693,0.8798,0.8885,0.8637,0.8866,0.8680,0.8767,0.8662,0.8804,0.8755
